other_income,interest_income,business_income,emp_income
0,0,0,95000
0,0,0,49200
0,0,0,10000
0,0,0,59800
46386.66667,46386.66667,0,0
0,0,0,96000
0,0,0,24800
0,0,0,15000
0,0,0,42000
0,0,0,90000
15760,15760,0,0
0,0,0,80000
0,0,0,105000
0,0,0,64095.61
0,0,0,140000
32240,32240,0,0
1040,1040,0,0
0,0,0,130500
0,0,0,88976
0,0,0,49754
0,0,0,104500
0,0,0,116804.36
0,0,0,55539
0,0,0,21586
0,0,0,80000
0,0,0,70000
0,0,0,80000
37486.66667,37486.66667,0,0
0,0,0,140000
0,0,0,33192
0,0,0,102128
0,0,0,141823
0,0,0,119430.4
0,0,0,25135.2
0,0,0,51230.77
0,0,0,51000
0,0,0,11269
0,0,0,5190
0,0,0,10000
0,0,0,128021
0,0,0,76623
97573.33333,97573.33333,0,0
0,0,0,120000
0,0,0,102150.6
0,0,0,120000
0,0,0,130529
0,0,0,113974
0,0,0,25135.2
0,0,0,114106
0,0,0,138424
0,0,0,140960.95
0,0,0,133384
0,0,0,6000
0,0,0,18201
0,0,0,69925
0,0,0,21830
0,0,0,140580
0,0,0,56000
0,0,0,120000
0,0,0,130435
0,0,0,109302
0,0,0,20000
0,0,0,30000
0,0,0,108150
0,0,0,115217.39
0,0,0,73000
0,0,0,25135.2
0,0,0,144000
0,0,0,105000
0,0,0,140705
0,0,0,144580
29020,29020,0,0
0,0,0,136698.2
0,0,0,100000
0,0,0,98835.32
137953.3333,137953.3333,0,0
86666.66667,86666.66667,0,0
0,0,0,85200
0,0,0,141033.67
0,0,0,97847
0,0,0,88000
0,0,0,141462
0,0,0,93710
0,0,0,85000
0,0,0,80000
0,0,0,116308.98
0,0,0,13072.15
0,0,0,14000
0,0,0,144000
0,0,0,111160
9020,9020,0,0
0,0,0,50171.5
0,0,0,29704
0,0,0,120000
0,0,0,111160
0,0,0,9920
29366.66667,29366.66667,0,0
0,0,0,20000
0,0,0,104803.89
0,0,0,25892.85
0,0,0,25135.2
0,0,0,72666.65
0,0,0,49000
13760,13760,0,0
0,0,0,105000
0,0,0,48500
0,0,0,9661.54
0,0,0,64000
0,0,0,120000
15493.33333,15493.33333,0,0
0,0,0,101379
0,0,0,122100
0,0,0,17538.47
21560,21560,0,0
0,0,0,27442.23
20906.66667,20906.66667,0,0
0,0,0,27400
0,0,0,80000
0,0,0,60000
0,0,0,111145
0,0,0,76990
0,0,0,132264
0,0,0,124715
0,0,0,91000
80000,80000,0,0
0,0,0,40000
53113.33333,53113.33333,0,0
0,0,0,12000
0,0,0,39360
0,0,0,107870
0,0,0,75025.9
9333.333333,9333.333333,0,0
0,0,0,109550
0,0,0,45000
0,0,0,20000
0,0,0,93981.59
0,0,0,104690.58
14200,14200,0,0
0,0,0,127500
0,0,0,9060.9
0,0,0,25135.2
7713.333333,7713.333333,0,0
0,0,0,29150
0,0,0,50000
0,0,0,83007.39
0,0,0,124216
0,0,0,136000
0,0,0,60000
0,0,0,140900
0,0,0,74172.86
0,0,0,118001
0,0,0,25135.2
0,0,0,59838
0,0,0,48534
0,0,0,80000
0,0,0,77984
0,0,0,110130
0,0,0,60000
0,0,0,29336
36200,36200,0,0
0,0,0,92797
0,0,0,95000
0,0,0,48000
0,0,0,20000
47500,47500,0,0
0,0,0,128747
1626.666667,1626.666667,0,0
0,0,0,14000
58606.66667,58606.66667,0,0
0,0,0,49929
0,0,0,10667
36666.66667,36666.66667,0,0
0,0,0,18500
0,0,0,120000
0,0,0,69000
0,0,0,120000
20000,20000,0,0
0,0,0,17142.86
0,0,0,39228
0,0,0,75000
0,0,0,85520
0,0,0,96000
0,0,0,56145.2
0,0,0,120000
0,0,0,89032.25
0,0,0,26200
0,0,0,53172.92
0,0,0,96433.33
0,0,0,118866
0,0,0,89974
0,0,0,21404
0,0,0,136800
0,0,0,17200
0,0,0,59243.4
0,0,0,45000
0,0,0,98815
0,0,0,3900
0,0,0,144000
0,0,0,80000
0,0,0,80000
0,0,0,120000
0,0,0,88500
0,0,0,69000
0,0,0,98028
0,0,0,42553
0,0,0,100000
0,0,0,86380
0,0,0,120000
0,0,0,97633
0,0,0,143000
0,0,0,62569.3
0,0,0,19049.33
0,0,0,49570
0,0,0,61991
0,0,0,26139.08
0,0,0,20000
3746.666667,3746.666667,0,0
0,0,0,130000
0,0,0,85066.22
102100,102100,0,0
99753.33333,99753.33333,0,0
0,0,0,59120
0,0,0,123302.22
0,0,0,3000
0,0,0,74328.43
0,0,0,89032.25
0,0,0,70725
0,0,0,116053
0,0,0,8194
0,0,0,115500
0,0,0,90189.04
0,0,0,120000
0,0,0,106000
8333.333333,8333.333333,0,0
59946.66667,59946.66667,0,0
0,0,0,30000
0,0,0,57000
0,0,0,71290.1
0,0,0,86320
0,0,0,102600
0,0,0,94875
16666.66667,16666.66667,0,0
0,0,0,132291.67
0,0,0,100738.45
0,0,0,80999.5
0,0,0,55950
0,0,0,64735
0,0,0,45000
0,0,0,81970
76993.33333,76993.33333,0,0
5253.333333,5253.333333,0,0
2513.333333,2513.333333,0,0
0,0,0,70000
0,0,0,80000
0,0,0,20000
0,0,0,141581
48486.66667,48486.66667,0,0
0,0,0,54121.39
6000,6000,0,0
0,0,0,36846.15
0,0,0,90000
0,0,0,23944
0,0,0,32000
0,0,0,10000
0,0,0,60000
28480,28480,0,0
0,0,0,24039
0,0,0,41804.6
0,0,0,40000
0,0,0,65000
0,0,0,49000
0,0,0,89590
6.666666667,6.666666667,0,0
0,0,0,80000
0,0,0,134514
109800,109800,0,0
0,0,0,105000
8073.333333,8073.333333,0,0
65500,65500,0,0
0,0,0,109806
0,0,0,106282
926.6666667,926.6666667,0,0
0,0,0,127100
33333.33333,33333.33333,0,0
0,0,0,75420
0,0,0,124000
0,0,0,17050
0,0,0,15000
63893.33333,63893.33333,0,0
0,0,0,63100
0,0,0,120000
0,0,0,13100
0,0,0,90000
0,0,0,96000
0,0,0,137114.65
0,0,0,140000
920,920,0,0
26093.33333,26093.33333,0,0
101260,101260,0,0
0,0,0,93923
0,0,0,61667
0,0,0,49754
0,0,0,105934.31
0,0,0,11389
0,0,0,132000
0,0,0,106995.48
0,0,0,82386.37
0,0,0,36481.54
40613.33333,40613.33333,0,0
0,0,0,69583.67
22213.33333,22213.33333,0,0
0,0,0,94000
0,0,0,109000
0,0,0,133691.7
0,0,0,42640
51600,51600,0,0
0,0,0,22150
0,0,0,30000
0,0,0,120000
0,0,0,107475.77
66.66666667,66.66666667,0,0
0,0,0,144000
11773.33333,11773.33333,0,0
0,0,0,103106.54
0,0,0,18462
0,0,0,100540
0,0,0,54015
0,0,0,83722.65
0,0,0,120000
0,0,0,20780
0,0,0,17600
0,0,0,35000
0,0,0,86485.38
0,0,0,63000
0,0,0,58333
0,0,0,71052
0,0,0,100000
0,0,0,71600
4766.666667,4766.666667,0,0
0,0,0,40517.1
0,0,0,48000
14066.66667,14066.66667,0,0
0,0,0,91929
0,0,0,114273.5
0,0,0,100000
89600,89600,0,0
5480,5480,0,0
0,0,0,59333
0,0,0,129750
0,0,0,70403.43
0,0,0,80000
0,0,0,53333.37
0,0,0,104932
0,0,0,34496
0,0,0,25933.75
0,0,0,74396
0,0,0,129849
0,0,0,79065.23
0,0,0,59132.47
0,0,0,120090
0,0,0,50000
23333.33333,23333.33333,0,0
0,0,0,129500
0,0,0,111482.36
0,0,0,106290
107206.6667,107206.6667,0,0
109886.6667,109886.6667,0,0
88953.33333,88953.33333,0,0
0,0,0,66000
0,0,0,25135.2
0,0,0,90400
0,0,0,96218
0,0,0,64698.65
0,0,0,117004
0,0,0,25135.2
0,0,0,89032.25
0,0,0,69800
9000,9000,0,0
0,0,0,136600
16800,16800,0,0
104733.3333,104733.3333,0,0
0,0,0,112000
0,0,0,73555
0,0,0,80000
0,0,0,52000
0,0,0,110000
0,0,0,60465
0,0,0,96876
0,0,0,17537.5
0,0,0,95000
0,0,0,92797
0,0,0,115513
0,0,0,117833.67
92713.33333,92713.33333,0,0
0,0,0,17600
0,0,0,44434
0,0,0,93096
0,0,0,54000
0,0,0,52500
6986.666667,6986.666667,0,0
0,0,0,110456
0,0,0,120667
24333.33333,24333.33333,0,0
0,0,0,129850
0,0,0,83091.34
0,0,0,92797
0,0,0,14076
0,0,0,114195
0,0,0,134737
0,0,0,33285.59
0,0,0,78366.13
0,0,0,103000
0,0,0,56940
33333.33333,33333.33333,0,0
85900,85900,0,0
0,0,0,48000
0,0,0,57000
0,0,0,12611
0,0,0,102500
0,0,0,132000
0,0,0,54318.2
0,0,0,120000
0,0,0,140000
0,0,0,120000
0,0,0,58420
0,0,0,49754
10866.66667,10866.66667,0,0
0,0,0,59056
0,0,0,53764
0,0,0,87153.42
0,0,0,135000
45253.33333,45253.33333,0,0
0,0,0,9600
0,0,0,75000
0,0,0,56302.95
139586.6667,139586.6667,0,0
10586.66667,10586.66667,0,0
0,0,0,99364
0,0,0,25172.9
51240,51240,0,0
0,0,0,44940
0,0,0,82686.71
21500,21500,0,0
0,0,0,140378
105666.6667,105666.6667,0,0
0,0,0,54436.36
0,0,0,75000
0,0,0,41520
0,0,0,92980
0,0,0,6750
0,0,0,89032.25
16353.33333,16353.33333,0,0
0,0,0,120000
0,0,0,49660
0,0,0,64750
0,0,0,91612.9
0,0,0,65255
1660,1660,0,0
0,0,0,130289
0,0,0,73600
0,0,0,80000
0,0,0,25135.2
0,0,0,84000
0,0,0,133277
0,0,0,105000
0,0,0,130390.67
4060,4060,0,0
67393.33333,67393.33333,0,0
0,0,0,18667
33333.33333,33333.33333,0,0
0,0,0,28694.44
0,0,0,78000
0,0,0,25000
0,0,0,80000
0,0,0,109512.01
0,0,0,65800
27746.66667,27746.66667,0,0
0,0,0,110000
0,0,0,14700
0,0,0,120000
0,0,0,51551.38
0,0,0,137000
0,0,0,79092
0,0,0,118310.83
0,0,0,102613.5
0,0,0,22580.65
0,0,0,4050
0,0,0,22000
9186.666667,9186.666667,0,0
0,0,0,66000
0,0,0,107290
0,0,0,5422
0,0,0,100000
0,0,0,115574
0,0,0,142000.41
65573.33333,65573.33333,0,0
0,0,0,62952
13533.33333,13533.33333,0,0
0,0,0,120000
0,0,0,90000
0,0,0,63250
0,0,0,113548.38
0,0,0,132053
0,0,0,80000
0,0,0,50000
0,0,0,118920
0,0,0,100000
55200,55200,0,0
45386.66667,45386.66667,0,0
91660,91660,0,0
0,0,0,127200
0,0,0,66195.68
0,0,0,80000
6.666666667,6.666666667,0,0
0,0,0,55463.13
0,0,0,133750
0,0,0,58500
0,0,0,140000
0,0,0,52500
0,0,0,19000
0,0,0,52245.8
0,0,0,108850
0,0,0,66900
0,0,0,21080
47000,47000,0,0
75800,75800,0,0
0,0,0,97847
0,0,0,57000
0,0,0,140000
0,0,0,116076
0,0,0,120000
31733.33333,31733.33333,0,0
21733.33333,21733.33333,0,0
0,0,0,51800
0,0,0,110180
0,0,0,91206
0,0,0,140000
0,0,0,138502
0,0,0,120000
0,0,0,92797
29960,29960,0,0
0,0,0,80000
0,0,0,126782
0,0,0,8932
0,0,0,8000
0,0,0,100011.93
0,0,0,64516
0,0,0,25135.2
0,0,0,40633
0,0,0,113097.9
0,0,0,57247.23
0,0,0,36481.54
0,0,0,21407
48306.66667,48306.66667,0,0
0,0,0,36000
0,0,0,60000
58633.33333,58633.33333,0,0
19180,19180,0,0
0,0,0,80000
0,0,0,138163
0,0,0,142603
0,0,0,125880
0,0,0,80000
0,0,0,46000
0,0,0,80000
0,0,0,122775.45
0,0,0,138000
0,0,0,140226.93
0,0,0,80000
0,0,0,120000
0,0,0,109508
0,0,0,80000
0,0,0,34896.21
0,0,0,100000
0,0,0,79135.26
0,0,0,112247
65813.33333,65813.33333,0,0
0,0,0,80000
0,0,0,108276.06
0,0,0,30600
0,0,0,104000
0,0,0,61534
0,0,0,58775
0,0,0,38298.39
0,0,0,55000
0,0,0,60000
0,0,0,30000
0,0,0,15287.69
0,0,0,100086
0,0,0,34860
14426.66667,14426.66667,0,0
12066.66667,12066.66667,0,0
0,0,0,130000
0,0,0,55645
0,0,0,17146
0,0,0,120000
0,0,0,84000
0,0,0,100000
0,0,0,97000.06
0,0,0,128447
27866.66667,27866.66667,0,0
24280,24280,0,0
0,0,0,8750
0,0,0,135000
0,0,0,120000
0,0,0,134562.08
0,0,0,25168.83
0,0,0,131707
72160,72160,0,0
0,0,0,15400
0,0,0,8540
0,0,0,33600
76666.66667,76666.66667,0,0
0,0,0,105000
0,0,0,83162
0,0,0,30000
0,0,0,125538
0,0,0,116635
0,0,0,15000
0,0,0,25135.2
0,0,0,95701
0,0,0,99807.21
0,0,0,31200
0,0,0,123000
0,0,0,55500
0,0,0,120000
0,0,0,9711
0,0,0,127331
3446.666667,3446.666667,0,0
0,0,0,77044.61
0,0,0,45000
13333.33333,13333.33333,0,0
0,0,0,137419
0,0,0,43336.8
0,0,0,142202.52
0,0,0,117000
0,0,0,26000
16700,16700,0,0
0,0,0,132000
18333.33333,18333.33333,0,0
0,0,0,75000
0,0,0,115000
0,0,0,80000
0,0,0,75000
6666.666667,6666.666667,0,0
33513.33333,33513.33333,0,0
120000,120000,0,0
0,0,0,27169.25
3153.333333,3153.333333,0,0
0,0,0,140712
0,0,0,50000
0,0,0,124109
0,0,0,90000
0,0,0,41000
0,0,0,132444
8500,8500,0,0
0,0,0,90000
0,0,0,25000
0,0,0,61200
0,0,0,55000
0,0,0,25135.2
0,0,0,18424
0,0,0,63944
0,0,0,100000
0,0,0,70083.87
0,0,0,106690
0,0,0,111901
0,0,0,44000
0,0,0,39930
0,0,0,9081
0,0,0,107569
31000,31000,0,0
0,0,0,92797
17966.66667,17966.66667,0,0
0,0,0,97140
0,0,0,8026.12
0,0,0,80000
0,0,0,52000
0,0,0,120000
0,0,0,40000
0,0,0,143000
0,0,0,128516
0,0,0,88992
0,0,0,78086
0,0,0,133503
0,0,0,40000
0,0,0,95194
0,0,0,78000
0,0,0,26200
138366.6667,138366.6667,0,0
0,0,0,19100
0,0,0,49700
0,0,0,140000
0,0,0,136000
0,0,0,70000
0,0,0,80000
0,0,0,80000
0,0,0,60000
0,0,0,120000
56373.33333,56373.33333,0,0
0,0,0,140000
51053.33333,51053.33333,0,0
56320,56320,0,0
0,0,0,60000
0,0,0,27000
0,0,0,83500
0,0,0,87885
0,0,0,33000
0,0,0,137114.65
0,0,0,47600
0,0,0,119000
135000,135000,0,0
0,0,0,132000
15120,15120,0,0
0,0,0,18800
0,0,0,80000
0,0,0,80000
0,0,0,32500
0,0,0,80000
43166.66667,43166.66667,0,0
7500,7500,0,0
0,0,0,28000
2666.666667,2666.666667,0,0
0,0,0,85040
0,0,0,80000
92566.66667,92566.66667,0,0
0,0,0,68850
0,0,0,135600
0,0,0,17000
0,0,0,119354.55
0,0,0,28000
0,0,0,141028.88
70813.33333,70813.33333,0,0
106826.6667,106826.6667,0,0
0,0,0,20000
0,0,0,20000
68866.66667,68866.66667,0,0
0,0,0,107661
0,0,0,78624
0,0,0,32398.37
0,0,0,62850
57146.66667,57146.66667,0,0
0,0,0,27192
0,0,0,100000
0,0,0,125000
0,0,0,67950
0,0,0,103000
0,0,0,67500
0,0,0,94000
0,0,0,56000
0,0,0,106516
0,0,0,126252.4
0,0,0,80000
0,0,0,53400
0,0,0,32000
0,0,0,45240
0,0,0,80000
0,0,0,22000
0,0,0,30000
0,0,0,25135.2
0,0,0,132635.23
0,0,0,125000
0,0,0,132208
0,0,0,68000
62353.33333,62353.33333,0,0
144000,144000,0,0
0,0,0,117483
0,0,0,72378
0,0,0,58384.62
0,0,0,123333.35
0,0,0,48957.67
6.666666667,6.666666667,0,0
0,0,0,63000
0,0,0,28800
0,0,0,80000
0,0,0,132000
0,0,0,24585
40840,40840,0,0
0,0,0,65728.42
0,0,0,90000
666.6666667,666.6666667,0,0
0,0,0,92668.8
0,0,0,23346
69420,69420,0,0
0,0,0,144000
0,0,0,90000
0,0,0,138507
123060,123060,0,0
0,0,0,48000
0,0,0,120000
0,0,0,80000
11000,11000,0,0
0,0,0,125000
0,0,0,23000
0,0,0,14056
121973.3333,121973.3333,0,0
0,0,0,66000
71520,71520,0,0
0,0,0,12849
0,0,0,80000
0,0,0,84500
7166.666667,7166.666667,0,0
0,0,0,142078.2
0,0,0,25135.2
0,0,0,45000
0,0,0,130100
0,0,0,67250
0,0,0,25220
16080,16080,0,0
0,0,0,128447.84
0,0,0,89165
0,0,0,80000
0,0,0,140515.03
0,0,0,135000
0,0,0,83800
0,0,0,20000
0,0,0,144000
6.666666667,6.666666667,0,0
16000,16000,0,0
0,0,0,130500
0,0,0,22510
0,0,0,67311.21
0,0,0,114928.65
0,0,0,126696.28
0,0,0,69440
0,0,0,36308
0,0,0,92000
0,0,0,131490.13
0,0,0,80000
0,0,0,69500
31000,31000,0,0
0,0,0,92797
0,0,0,123600
0,0,0,84573.93
0,0,0,60000
0,0,0,132000
0,0,0,15122
97373.33333,97373.33333,0,0
0,0,0,109000
0,0,0,8400
0,0,0,38786.93
0,0,0,84000
0,0,0,2668
0,0,0,50289
0,0,0,78865
0,0,0,45200
0,0,0,135850
0,0,0,68218
0,0,0,112000
0,0,0,25000
6.666666667,6.666666667,0,0
0,0,0,57114
0,0,0,40189.5
0,0,0,87917
127193.3333,127193.3333,0,0
0,0,0,123625.02
0,0,0,120028
0,0,0,98845
30000,30000,0,0
0,0,0,131500
0,0,0,80500
0,0,0,127050
0,0,0,140138.45
0,0,0,120000
0,0,0,16882
77046.66667,77046.66667,0,0
0,0,0,75000
0,0,0,11086.08
0,0,0,97355.28
0,0,0,80000
0,0,0,25135.2
0,0,0,27568.03
0,0,0,108000
0,0,0,51700
0,0,0,39551
0,0,0,137808
15793.33333,15793.33333,0,0
0,0,0,129984
0,0,0,139248.8
0,0,0,49570
0,0,0,144000
0,0,0,122810
57733.33333,57733.33333,0,0
0,0,0,40000
0,0,0,120855
0,0,0,132000
0,0,0,40000
2866.666667,2866.666667,0,0
0,0,0,81000
0,0,0,43333
0,0,0,135599.58
0,0,0,92472
0,0,0,69400
0,0,0,23136.92
0,0,0,72000
0,0,0,60000
15353.33333,15353.33333,0,0
0,0,0,37421.7
81893.33333,81893.33333,0,0
0,0,0,20000
1746.666667,1746.666667,0,0
0,0,0,108507
0,0,0,120000
0,0,0,83845
0,0,0,15000
0,0,0,131231.12
0,0,0,80000
0,0,0,120000
0,0,0,118201.28
35780,35780,0,0
0,0,0,103758
52493.33333,52493.33333,0,0
0,0,0,59116
0,0,0,80000
0,0,0,56400
0,0,0,81600
0,0,0,120645.12
0,0,0,120000
6140,6140,0,0
24360,24360,0,0
0,0,0,62596
0,0,0,23564
46200,46200,0,0
0,0,0,60000
0,0,0,121069
0,0,0,118188
0,0,0,125700
0,0,0,28000
0,0,0,40000
0,0,0,42276
0,0,0,26200
0,0,0,58420
29953.33333,29953.33333,0,0
33666.66667,33666.66667,0,0
0,0,0,126129
0,0,0,126200
0,0,0,143682
0,0,0,74000
666.6666667,666.6666667,0,0
0,0,0,109539
0,0,0,110000
15920,15920,0,0
0,0,0,14950
0,0,0,40000
0,0,0,80000
0,0,0,26367
0,0,0,20000
0,0,0,80000
0,0,0,65180
0,0,0,91000.4
0,0,0,101540
0,0,0,62500
0,0,0,48000
115046.6667,115046.6667,0,0
0,0,0,108000
0,0,0,120000
0,0,0,60000
0,0,0,28200
0,0,0,25067
0,0,0,60000
0,0,0,92797
13666.66667,13666.66667,0,0
0,0,0,18063
0,0,0,66200
0,0,0,67403
0,0,0,128000
0,0,0,48620
0,0,0,90000
0,0,0,108000
0,0,0,43204
0,0,0,88254.64
0,0,0,115595
0,0,0,88578.2
0,0,0,30300
0,0,0,75000
33333.33333,33333.33333,0,0
0,0,0,22663
0,0,0,25135.2
0,0,0,127200
713.3333333,713.3333333,0,0
0,0,0,46000
0,0,0,112662
0,0,0,143123.3
0,0,0,128200
0,0,0,89387
36620,36620,0,0
0,0,0,111146.66
43813.33333,43813.33333,0,0
34000,34000,0,0
0,0,0,144028
3333.333333,3333.333333,0,0
0,0,0,90000
34666.66667,34666.66667,0,0
0,0,0,90000
0,0,0,47355
0,0,0,1612.9
0,0,0,17575
0,0,0,108000
0,0,0,28750
0,0,0,75000
34620,34620,0,0
0,0,0,10000
0,0,0,21000
0,0,0,84395.8
0,0,0,18500
0,0,0,50520.55
0,0,0,144000
0,0,0,98500
3893.333333,3893.333333,0,0
0,0,0,49500
0,0,0,96000
1866.666667,1866.666667,0,0
0,0,0,60000
19126.66667,19126.66667,0,0
0,0,0,100400
0,0,0,11600
0,0,0,81250
0,0,0,121266
90346.66667,90346.66667,0,0
0,0,0,70000
0,0,0,105000
0,0,0,125958.37
0,0,0,66041.03
0,0,0,10000
0,0,0,80000
27960,27960,0,0
0,0,0,64191.67
0,0,0,25000
0,0,0,46153.8
0,0,0,113110
0,0,0,2000
0,0,0,46981
0,0,0,9748.21
0,0,0,12982.98
0,0,0,70418.4
0,0,0,69608.28
0,0,0,80000
0,0,0,123630.96
0,0,0,72000
0,0,0,126566
0,0,0,59454
0,0,0,33952
0,0,0,71599
0,0,0,27400
0,0,0,84000
666.6666667,666.6666667,0,0
35000,35000,0,0
0,0,0,43840
0,0,0,59319
0,0,0,26000
0,0,0,122540.96
0,0,0,69800
0,0,0,142098
0,0,0,33966
2740,2740,0,0
0,0,0,63000
20200,20200,0,0
0,0,0,60000
0,0,0,101520
0,0,0,127933.5
0,0,0,61812
0,0,0,84000
0,0,0,136850
59566.66667,59566.66667,0,0
0,0,0,144000
0,0,0,60000
0,0,0,71000
41073.33333,41073.33333,0,0
0,0,0,80000
0,0,0,20000
25166.66667,25166.66667,0,0
0,0,0,94279
0,0,0,120000
0,0,0,143407
0,0,0,72680
0,0,0,30200
0,0,0,140913
0,0,0,50000
0,0,0,130080
0,0,0,132000
0,0,0,141616.25
0,0,0,67950
0,0,0,54990
0,0,0,132326.2
0,0,0,127587
0,0,0,75000
0,0,0,25220
0,0,0,78366.13
0,0,0,35000
0,0,0,122000
0,0,0,120267
0,0,0,56942
58133.33333,58133.33333,0,0
0,0,0,26200
0,0,0,64839
0,0,0,96214.16
54893.33333,54893.33333,0,0
0,0,0,124320
133000,133000,0,0
0,0,0,80000
0,0,0,45000
0,0,0,15000
0,0,0,108800
0,0,0,40000
0,0,0,95000
68906.66667,68906.66667,0,0
0,0,0,69500
0,0,0,130284
0,0,0,36000
0,0,0,58500
0,0,0,90000
0,0,0,35149
0,0,0,142502.79
0,0,0,45000
5833.333333,5833.333333,0,0
72166.66667,72166.66667,0,0
0,0,0,36000
0,0,0,112000
0,0,0,18000
0,0,0,120000
17686.66667,17686.66667,0,0
0,0,0,20950
0,0,0,144052
0,0,0,57871
0,0,0,136061
0,0,0,53300
14080,14080,0,0
15220,15220,0,0
6.666666667,6.666666667,0,0
0,0,0,55472
0,0,0,96120
0,0,0,95450
0,0,0,3346
0,0,0,130000
0,0,0,105424.76
0,0,0,45000
0,0,0,123102
0,0,0,62000
0,0,0,63475.5
0,0,0,15000
0,0,0,116000
0,0,0,120000
25366.66667,25366.66667,0,0
0,0,0,25400
0,0,0,60000
0,0,0,33780
0,0,0,45333.33
140000,140000,0,0
0,0,0,76495
0,0,0,59892
0,0,0,116378
0,0,0,110055
0,0,0,99292.15
6.666666667,6.666666667,0,0
0,0,0,33980.03
0,0,0,144028
0,0,0,79299.38
20000,20000,0,0
0,0,0,93000
0,0,0,20250
5466.666667,5466.666667,0,0
0,0,0,36000
7000,7000,0,0
0,0,0,117000
57606.66667,57606.66667,0,0
0,0,0,60550
0,0,0,25135.2
0,0,0,80000
0,0,0,32000
0,0,0,134070
0,0,0,125164
0,0,0,107195
0,0,0,40276.69
0,0,0,128288
0,0,0,105000
0,0,0,140640
0,0,0,98960
0,0,0,74838.83
0,0,0,120000
0,0,0,31216
0,0,0,127338
0,0,0,135580
0,0,0,126500
39620,39620,0,0
0,0,0,75000
23826.66667,23826.66667,0,0
70466.66667,70466.66667,0,0
0,0,0,80000
0,0,0,134000
0,0,0,18000
0,0,0,34151.55
0,0,0,58976.2
0,0,0,20776
0,0,0,15050
0,0,0,22800
0,0,0,64607
19966.66667,19966.66667,0,0
0,0,0,91000
0,0,0,78639.7
0,0,0,74014
1333.333333,1333.333333,0,0
0,0,0,81000
0,0,0,120000
0,0,0,47000
5420,5420,0,0
0,0,0,107870
0,0,0,128786
0,0,0,140400
0,0,0,81000
0,0,0,23106
87453.33333,87453.33333,0,0
0,0,0,140000
0,0,0,80348
0,0,0,102000
0,0,0,80000
0,0,0,132000
0,0,0,9150
0,0,0,29675
0,0,0,42547.8
0,0,0,98515
0,0,0,40000
0,0,0,70000
0,0,0,140000
0,0,0,44800.4
0,0,0,39943
0,0,0,96000
20840,20840,0,0
0,0,0,138519.93
0,0,0,25500
0,0,0,34088
0,0,0,139500
0,0,0,80000
15733.33333,15733.33333,0,0
0,0,0,89690.05
0,0,0,25135.2
0,0,0,20594
0,0,0,80000
27500,27500,0,0
0,0,0,126260.87
31033.33333,31033.33333,0,0
0,0,0,15720
0,0,0,138000
0,0,0,114600
0,0,0,76000
0,0,0,70576.2
0,0,0,78000
0,0,0,13248.28
0,0,0,42400
0,0,0,42000
0,0,0,9405
0,0,0,121657
0,0,0,143920
0,0,0,72500
0,0,0,112947.91
0,0,0,90000
0,0,0,92797
0,0,0,45000
10060,10060,0,0
0,0,0,131430
0,0,0,126681.75
0,0,0,43336.8
0,0,0,120000
0,0,0,83855
0,0,0,120000
0,0,0,74321
0,0,0,103877
0,0,0,15000
